fiscal_year,flow_direction,Shrawan,Bhadra,Ashwin,Kartik,Mangshir,Poush,Magh,Falgun,Chaitra,Baishakh,Jestha,Ashadh,reported_total,source_note
2079_80,EXPORT_GWh,251.5584,255.6696,280.9730,202.2535,87.8037,0.3867,0.0000,0.0000,0.0000,0.0000,24.2048,230.0673,1332.9170,"NEA annual report FY 2024/25 comparison of exported energy to India"
2080_81,EXPORT_GWh,255.5382,304.5849,417.8284,380.0270,114.1699,0.4349,0.0384,0.1009,0.3187,0.3071,67.9286,401.3571,1942.6340,"NEA annual report FY 2024/25 comparison of exported energy to India"
2081_82,EXPORT_GWh,497.8630,552.3316,358.2048,289.7869,66.2297,0.1100,0.0000,0.0000,1.0960,0.0000,78.9363,487.1778,2331.7360,"NEA annual report FY 2024/25 comparison of exported energy to India"
2079_80,IMPORT_GWh,25.4615,20.8563,6.1199,0.5194,18.6871,202.8805,310.9881,318.4711,335.5374,395.7281,184.4009,34.8757,1854.5261,"NEA annual report FY 2024/25 comparison of imported energy from India"
2080_81,IMPORT_GWh,10.3748,1.1828,0.6333,0.0898,25.6803,162.7409,324.0075,395.4887,348.7461,356.9380,187.8506,18.7939,1832.5267,"NEA annual report FY 2024/25 comparison of imported energy from India"
2081_82,IMPORT_GWh,0.0000,2.4524,3.4053,0.0000,29.7911,172.3379,295.8489,357.3589,362.2620,354.4904,123.5147,10.0657,1711.5272,"NEA annual report FY 2024/25 comparison of imported energy from India"
