bs_date,gregorian_date,fiscal_year,bs_year,bs_month,bs_month_name,bs_day,fiscal_month_order,nea_subsidiary_mwh,nea_generation_mwh,ipp_mwh,import_mwh,total_energy_available_mwh,export_mwh,inps_demand_met_mwh,energy_interruption_mwh,generation_deficit_mwh,energy_requirement_mwh,net_exchange_india_mwh,peak_time,generation_mw,peak_import_mw,peak_availability_mw,peak_export_mw,demand_met_at_peak_mw,peak_interruption_mw,peak_deficit_mw,peak_requirement_mw,net_exchange_india_mw,detail_url,title,published_gregorian,pdf_url,pdf_filename
2081/09/13,2024/12/28,2081_2082,2081,9,Poush,13,6,7025,5547,17019,4439,34031,0,34031,1500,0,35531,4439,17:55,1448,217,1664,0,1664,250,0,1914,217,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-13,Nepal Daily Operational Report 2081_09_13,"December 28, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_13.pdf,NDOR%202081_09_13.pdf
2081/09/14,2024/12/29,2081_2082,2081,9,Poush,14,6,7369,5740,16806,5172,35087,0,35087,1200,0,36287,5172,17:55,1442,249,1690,0,1690,300,0,1990,249,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-14,Nepal Daily Operational Report 2081_09_14,"December 29, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_14.pdf,NDOR%202081_09_14.pdf
2081/09/15,2024/12/30,2081_2082,2081,9,Poush,15,6,7316,5614,16351,6262,35542,0,35542,1500,0,37042,6262,17:55,1423,279,1702,0,1702,320,0,2022,279,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-15, Nepal Daily Operational Report 2081_09_15,"December 30, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_15.pdf,NDOR%202081_09_15.pdf
2081/09/16,2024/12/31,2081_2082,2081,9,Poush,16,6,7600,5584,16146,6042,35372,70,35302,1950,0,37252,5972,17:45,1401,257,1659,0,1659,320,0,1979,257,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-16, Nepal Daily Operational Report 2081_09_16,"December 31, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_16.pdf,NDOR%202081_09_16.pdf
2081/09/17,2025/01/1,2081_2082,2081,9,Poush,17,6,7543,5494,16228,6059,35323,0,35323,1880,0,37203,6059,18:00,1442,238,1680,0,1680,320,0,2000,238,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-17, Nepal Daily Operational Report 2081_09_1,"January 01, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_17.pdf,NDOR%202081_09_17.pdf
2081/09/18,2025/01/2,2081_2082,2081,9,Poush,18,6,7268,5494,16257,6159,35178,0,35178,1000,0,36178,6159,18:00,1465,222,1687,0,1687,320,0,2007,222,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-18,Nepal Daily Operational Report 2081_09_18,"January 02, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_18.pdf,NDOR%202081_09_18.pdf
2081/09/19,2025/01/3,2081_2082,2081,9,Poush,19,6,7603,5384,16317,6242,35546,0,35546,1750,0,37296,6242,17:50,1468,269,1737,0,1737,300,0,2037,269,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-19,Nepal Daily Operational Report 2081_09_19,"January 03, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_19.pdf,NDOR%202081_09_19.pdf
2081/09/20,2025/01/4,2081_2082,2081,9,Poush,20,6,6930,5388,16119,5699,34136,0,34136,1700,0,35836,5699,18:00,1470,259,1730,0,1730,300,0,2030,259,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-20,Nepal Daily Operational Report 2081_09_20,"January 04, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_20.pdf,NDOR%202081_09_20.pdf
2081/09/21,2025/01/5,2081_2082,2081,9,Poush,21,6,7598,5448,15979,6739,35764,0,35764,1200,0,36964,6739,17:50,1421,296,1717,0,1717,320,0,2037,296,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-21, Nepal Daily Operational Report 2081_09_21,"January 05, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_21.pdf,NDOR%202081_09_21.pdf
2081/09/22,2025/01/6,2081_2082,2081,9,Poush,22,6,7095,5157,15849,6389,34490,0,34490,1000,0,35490,6389,17:50,1422,221,1642,0,1642,350,0,1992,221,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-22,Nepal Daily Operational Report 2081_09_22,"January 06, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_22.pdf,NDOR%202081_09_22.pdf
2081/09/23,2025/01/7,2081_2082,2081,9,Poush,23,6,7376,5296,15231,7438,35340,0,35340,1550,0,36890,7438,18:00,1426,260,1686,0,1686,350,0,2036,260,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-23,Nepal Daily Operational Report 2081_09_23,"January 07, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_23.pdf,NDOR%202081_09_23.pdf
2081/09/24,2025/01/8,2081_2082,2081,9,Poush,24,6,7160,5204,15439,7421,35225,0,35225,1950,0,37175,7421,18:10,1467,274,1741,0,1741,350,0,2091,274,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-24,Nepal Daily Operational Report 2081_09_24,"January 08, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_24.pdf,NDOR%202081_09_24.pdf
2081/09/25,2025/01/9,2081_2082,2081,9,Poush,25,6,7580,5176,15658,7723,36137,0,36137,1800,0,37937,7723,18:00,1451,266,1717,0,1717,350,0,2067,266,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-25,Nepal Daily Operational Report 2081_09_25,"January 09, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_25.pdf,NDOR%202081_09_25.pdf
2081/09/26,2025/01/10,2081_2082,2081,9,Poush,26,6,7192,5101,15642,7554,35489,0,35489,2100,0,37589,7554,18:05,1434,241,1675,0,1675,350,0,2025,241,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-26,Nepal Daily Operational Report 2081_09_2,"January 10, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_26.pdf,NDOR%202081_09_26.pdf
2081/09/27,2025/01/11,2081_2082,2081,9,Poush,27,6,6251,5017,15623,6845,33735,0,33735,1700,0,35435,6845,17:55,1367,211,1578,0,1578,350,0,1928,211,https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-27,Nepal Daily Operational Report 2081_09_27,"January 11, 2025",https://td.neasite.dryicesolutions.net/uploads/shares/Daily_op_reports/NDOR%202081_09_27.pdf,NDOR%202081_09_27.pdf
