detail_url,title,published_gregorian,pdf_url
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-09-01-r1,Nepal Daily Operational Report 2081_09_01 R1,"December 16, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_09_01.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-30-r1,Nepal Daily Operational Report 2081_08_30 R,"December 15, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_30.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-29-r1,Nepal Daily Operational Report 2081_08_29 R1,"December 14, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_29.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-28-r1,Nepal Daily Operational Report 2081_08_28 R,"December 13, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_28.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-27-r1, Nepal Daily Operational Report 2081_08_27 R,"December 12, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_27.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-26-r1,Nepal Daily Operational Report 2081_08_26 R,"December 11, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_26.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-25-r1,Nepal Daily Operational Report 2081_08_25 R1,"December 10, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_25.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-24-r1,Nepal Daily Operational Report 2081_08_24 R1,"December 09, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_24.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-23-r1,Nepal Daily Operational Report 2081_08_23 R1,"December 08, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_23.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-22-r1,Nepal Daily Operational Report 2081_08_22 R1,"December 07, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_22.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-21-r1,Nepal Daily Operational Report 2081_08_21 R1,"December 06, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_21.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-20-r1,Nepal Daily Operational Report 2081_08_20 R1,"December 05, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_20.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-19-r1,Nepal Daily Operational Report 2081_08_19 R1,"December 04, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_19.pdf
https://td.neasite.dryicesolutions.net/detail/nepal-daily-operational-report-2081-08-18-r1,Nepal Daily Operational Report 2081_08_18 R1,"December 03, 2024",https://td.neasite.dryicesolutions.net/uploads/shares/press_release/NDOR%202081_08_18.pdf
